judul,tanggal,sumber,url,konten
Google News,,Pemprov Jawa Tengah,https://news.google.com/rss/articles/CBMinwFBVV95cUxNVWNHZGJmVlZFOTE3N2lsSXhHcGNvdDE0Nl9FaTNZUlQyU2RGU29XZU1XN29rcUtuUWVrU2Q5X2ZWUFliOEU1VUxFNjVQMmhINHNHY2hXTUx6OWxwMVU2NDlzNEtkSWJkSnBlZnhhMVRoektRMTBsVzBnQVlJR2UyYWtmNzh6SVBZVnNHZ2RTTVVNd094RjQtLVlCaWJOdXc?oc=5,
Google News,,Kompas.com,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNWHZDZndwMkJuTzB4eFlZWmdnUVd5WFZFU3lSQTJtejR5MXpQcUJRYjVHZGZmNTEzUlZjcy02NlJMYWZYTFAyX19YcndRMTdXa2h6eFBBSHNHSTFaVmNDRVlXYUFHck1Pa1NqUEZOOGl4TkVXNE0yVl9kd0UtUmdFX0t6a1hwUEpBWHAyZ1lpaGVGdlhqaUJiVS0yam54anpKMThWUDJrLW5aNDZXVk42YndtSUxIc0ozbVhjQ0U4RjB5XzI1YmNUSA?oc=5,
Google News,,Liputan6.com,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOV2Z5a2NlaTJYN2ZXMFI2UXJLZkZOaHN1X29PYTI1NThnSU16RjNHanFBS09kRXZnTTVxSDRZajNUR1NDYVI1VWtYeXdfcWlnbnVlYllyaW42VVFkcTVad24wb3NEX1NaaGY2cDBOdXhvc01seFpobXVDQ3FPNTU0OUlBUnBpOEVV?oc=5,
Google News,,Liputan6.com,https://news.google.com/rss/articles/CBMivgFBVV95cUxNbm1WLVhJbUh6a0hYcm40a2Rwb00zWHZrOEx0cHpwb3VwVWdQa2JKZmxSVGl6Wkh3b1l0ZUhvbkZMTHRxM01BZ0FfTlpRR2N3aGJiZEp3YURpMlZxTTY2eVRrMGtGaGlEUUktcTYxYUE2T3p4c0tEQzNBUk1ubTNGWUYzeFROdE1QQkNSNlZRWFp1c2tWMHJMSzNFeWl5NE05T3ZlNWdWd2tqeTgtSDJSeC1xcHhkZzVhYXB4NTN3?oc=5,
Google News,,detikHealth,https://news.google.com/rss/articles/CBMitgFBVV95cUxNZ2VpT3poaXM2YTFGZXV4YTF1bF85aGsyd0xodkdhWlBTRjZMajVUajdDbXlIV01lLW1JLWE2WnZYWG9NTTU0Q09hRXJNNzB3N3pKTnJDdDFtdFI4anp6ZmdLNDJmbjczT1VWcHV4dDlPZElmX0UxcnNwVVU2bVNxNnBXdkVJTnJ6SlhwWGptbmo4Q2dHM2xfMnM0VE1fdmtkZTYzdllGRmxRNkFBcTVOYTM1TTZJZ9IBuwFBVV95cUxNSndJRmR5alRjdDJkMTN2QXU4NGVJMFUtalJoTEpCN3daOFBVSG5FYVV6M0xmTnRoeWx5c05BNU4xcXc0SW9aQXpWTDgyTzJNeVhTd3pLb0JsdEwtLXpaVmdydzczODBHMmhhVVRnR3lnWndqci1OeHlfTUhrVUJ5WE5kQ1BxUVJtT2R2bG1iTk45dFJkb1dWUEhGU0JPQk9QS1gzcTZPSzFOeWVfRWw3WlBTSW1zc0VQTFUw?oc=5,
Google News,,ANTARA News,https://news.google.com/rss/articles/CBMipgFBVV95cUxNVG8tYW5DWGNWUENibmNLTHdzU2VpZUd5ZmdJYjJoZFE0bXItSnR5Yk5jMmJ5V3M2U04tcm9zcnVnUWRuem9QaS05YmNadmRyRHFERTlrUHZrSDdwdzdyckhUdjNxN3dmLTRoLWJZQktkTzVJTGN3RnBUSTJMUDl0ZEVaREdEZHoteG44NFUxcV9JUFdiSmdfSmNKYkZQTlk4SnpDWlBR0gGoAUFVX3lxTFBJa0tobi1JN1lic01lZFpLdnZ6RFAyNzFuVmVpZ0dLQndIY0dwWHdVNWlGUS1WbDBSWkdRNWVNRXVZWmUxQjFYSnZWNkUwNmhuMFdvQ1JjMk1ISGxwb3V2QS1JdG9uTktNN2oxY3Q2TGVXdFJaTEQ4aWpMR0xrRjE4U1d1dnNYZjZCOTVaOHVnMHctTVhyVkJyY1l4WHI2czI4MWhSN2Fxag?oc=5,
Google News,,detikNews,https://news.google.com/rss/articles/CBMiswFBVV95cUxNSVRUNXNFT3B4R25XRWJCY0Jrd3JjbDVJOEpFR2xlQXljVXRzbldnZU5sQ1UyWDlFUkdMSUJtWjZfWnIzSENFVTRLcl9ubEhuakpEM3FGRGtyWFZGWmxKVE9sdEQ3c0otUXhITDhPcEYxLXZTOTJ0YVFlUXB0SUZtQ3RyYW5PNEtYblA4UlVLeVFGTDllZmFXWFpPSHd1a1ZiT3hWclE1clZCdDNTdERZWVBuY9IBuAFBVV95cUxNUllzWEQxb0JaU0pXcE5NeGFjNUl1T1IzazR0WXdRYzFyWUVaVTlHaUZqRl85SFhuSlljVDAzLUZWVWpOOG0ybXVGUkoxdU5ab1ZldXloVUFUSHhUeC1XSXlzLUdrR1RaRmxJQjhWN2hDOFpEVmF6eTYxbTg3bVl4dWZzUkUtUDBqd1doX1FHZndPRGxtXzlOTUNJYWx1OGtqTlpjR2h3Mkt5VDVxRFhHZWE2S0szSnRt?oc=5,
Google News,,SINDOnews Nasional,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNaG50STF3cWRhMHJhVV9VUEo5VFRMZUlYZjJUcWNGS3MtQVlJNGhTSkEyaEFaWHNBN3pxRldncWZuaThWSlJSM2ZjM3JwQmsyajczOE9Mb1RuU0pOaUlNd0VRcVN1Z1ZJT0RCWURkMjRxcjdzbDBRZWRoblliekE2S2F5STFuUDdrMC1fSjl0X0xNeU05SHNwN1IwNlVTeHJfNFRJQU5iN3Rqa2lPam50aGQwc1RFSjVrVzlEOG13V27SAcYBQVVfeXFMUFRjQUdONVVHZllGM0pDY2NiWS1yQXFmWi1aM1QzdVE3MXl3ZW9RYlFVZkxPYnNubHVnU3lNU3JVMzNGTERkTVk3TXFTT0prZnc4RlRTVXY0ZjJvSWlMa0R0Qk1JSTUxamVvYUhsX2JxdzVHRXZlSUtnNEpCX3U4TFpueFlVM2VnTm8xWWdoaDN4Rk9jdTBUaHZvLUV2TmtONjhiM0xGV0Vhc1lWcHNyblk3VGUzdTdkQWJyTkIxYXVhZEpwenJR?oc=5,
Google News,,Kompas.id,https://news.google.com/rss/articles/CBMikwFBVV95cUxPV1l3eW5ITkh2MHBUUnl4VkpJUXZXZTRuNnJXaFNPN2tpQXNDaXJkdXMtRV9vdl9UTXJoa1lvNXJ6d293MTVOQzh6QmRvUnBtRjc1eC1MZmZudU1BRVpuSW1lM0g5bWpsbkN2RGNvM093ZFFqSjB4b3VpOURSWHo1emJ1b3BSeUxwZnVJZnllam1CLVU?oc=5,
Google News,,ANTARA News,https://news.google.com/rss/articles/CBMinAFBVV95cUxQdS15cGJSdEdzWmVtVFo1Smg0VTVQNWkzSW1JOU1tV2JIeDU0VGs0cVp5MmFULU1HNlVHbW9kOS1SMXpIRG1SWnZJWmNGelppRVRlZnRhS19QTTNqN2ZIeHVCRVppUURBcVkyY3BWT2VKLW51Zk5ZSUhQN2ZKZ1RtVUVBc2w1TG53ZUtmLV9Kbm1oZ3EycFRtQmdKTmzSAZ8BQVVfeXFMUENuVGwxRkVxUUxnR2JMd1JLWHVwdFNtU0lqaVk5R0lza1liZEczRjVyV1E1ck1XNFIwak5PcnRTMVJWRjlpR195M3JyTXMzZG9lamluWTZCcVItZDV0ZC1vMXo5bkRXLW9STG1MRHFETnVpMXB3NFJkQjJoZjFIbkRwYVFNdm5XNy1WeGViVFQ2Y2NLVmlYWHZEMk95WW1J?oc=5,
