judul,tanggal,sumber,url,konten
Google News,,Pontianak Post,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQR3NIUFVia2RHbWZqQmphdV84S3dzcWNqazJJWWtOSlhhY1BZMWpuWWhlYmNuR21WUWlVbFpqbGpEUXhUbWdWQnRaeTlsLUY4cFFjM2VyeXlKQ2FibGU0a0V6TEdzc3piVFhUOEFRZU5scXdHODJJTWd5Q3BRMC1sbDl0Q1JKYkFJRjZaSFI2X1NjWGZKelBSb0xTNTBOTWgtaTVTUmtGM2Q5Mm1Dd2VFWVl4VEFuSkl3ay1CTnc5TFFCc1ZreUFuU1hlTmpVaGQydlR3X2pxMHBYWDFO0gHiAUFVX3lxTE5LMDVuWTVhamZIWFNSNUs5cFhadXJfUWRnLXVBb0paS0NxLTA5TV9ueXZYaFQ5a3VoeURrSjRMMTk5NkpTc1F0MUxyNzJlQlBzb25jRmtMMzVCdS1WUy1pWnItajl3REtrak5SZWtOT3hDYzJjblU4dUJkSm1mMG05ZEZQQnZDU3k4azQtZ014V0pkLWlITk9hN2MxeWdtVGlrTUR2MlYxV1VzcmEyZDdQaVJmTXhnNHR5RDliN2NSeWVFREJMUzVJdjZvMTNDa1p0d0lRR1V1dHZPampJVDNkNXc?oc=5,
Google News,,Tribunjatim.com,https://news.google.com/rss/articles/CBMixwFBVV95cUxQZ2NFemEtcnNkRk1yRkVtaE9Uc1MzOXZlRGZEcGpPVTRiNGhlMjN5TVJ4My1JdzlSV185VUdUTE9OMHVxMlA0VXMzOS1zcFpVZVY4UmFyNUJ6d00wMVhDb3BYNlQ3eENjUmNxVHByX21FcG5xX2I4UmRaTm5IQVJiU2xpNTZHeENydk1NelR4Tzhaa29DNXVwZU9Ccl9JRDduZEpoNWxiSjFiejVnWWhrajFrcW13Y211SGowZTR0MXhwZXRvTDZj?oc=5,
Google News,,JPNN.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxQM2sxWUFEdUN4TFFuMDVTSlhYdmxQV0FhQm9IWGU2MDdvMnpXWEgyMC1rb1lFM0twSEtpc0RTX2R6LWpacElLVUF6ZXhUamMxYVVvNzFqTDlFa2RLSVRJVFBDYzNWdS12aUFCTXMxVGswQnBFY3AtTTlyRm03RklpcjRrQXZiY0ZvY1FpSGdvdlBMWDhOdEMwQVRjNGVLQ3R20gGmAUFVX3lxTE4zVWFuR1dVdThvUmYxNnRHdVVRN2pUM2NDOUVyUkpaSUtOaEl3ZDZrR0ZjcURLdXF0cEJYZ1d5ZDBqeTVLQUFLRklzUWxMZXdUeUlfMGJDTTFYMHBOSDZhZHhRbFJibjZ2ZEhpM2xXTW1iVmVhWVg2VE9rekVFTHZxMWFYcm5HV1lCd19IV1ZuRldIWThLM2U1eHFfYXBGc2VSVGIzVnc?oc=5,
Google News,,ANTARA News Sumatera Selatan,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPbzBUWWtKYXdEUXNfd2JOeVRtQUNfZTFBYjQzMW1EbjJpNlpfY0h2NXl5UmxwRDg3UTBGd2lWcVNMazFLTUpEWlY5UnI1SGtRYzQ2eGJWQ29PZ01fcUg3ZE1KeUFRcXhiWVhlcHZHQUI2NzRYRFdDR081TV9MbHZZb0RrbmUtdVRDbzlyMWJIRnFUNDNmVFFMRXc1LUEtdGdHcGdGYnEtcHZ2Wko3VlNHUUdzQmUzRk8xRUVuZ1lUVWNZQlZ5cHUxQ3dzOTNPVWZh?oc=5,
Google News,,Suara Merdeka,https://news.google.com/rss/articles/CBMitwFBVV95cUxQQVFCbjlPaHNzRDZEZXN3OEg5T3pDMXpxQ1p5eFpPZnB2VC1aOE9GREdkRzNxMXF2NTNZUUZhUHhtcDBTa3pldksyN1lhcDA3Snc2UjlaSm9aWVFPNmhYSmJEYmc1Y0FXU0hTUFlvVEVLck5ENmlKTUh6SHRURWsyODZrdWlJbXQzbU1kYXBMVXN0Sl9fYVZDN2R1M19wWFRNSGVqQWQ4VlZwT29GSlI3bW50Y2lTeVHSAbwBQVVfeXFMTVlmMWVnZU0xQmxBRnZZdlpTNzhMcHphUnEya2tyZ1gxRHNTUUNnZFJGNkIxeTRVM2JSVGJxbEFMV0RNX2JYeGgyNmdjamZuUE5aMUgtdTNLcTlyV2pScFRpbzB2bWo4dkxlYVlTTEtwWVh2cVFLNk5wT0pOUUFTanhBYjlWa2UtOHlXbUN1ZDd3VjBNdjFDbENrQzhVc2lwS2ZZdjhJNTlTbmo4Si1TSG9pY0VkM0wyOHE2TVQ?oc=5,
Google News,,Tempo.co,https://news.google.com/rss/articles/CBMibkFVX3lxTE5wdGJibllzWVpLQy1QcGk3emEwVWtyTktmek5CWHdDODRERW1ONk80c1ZPVUk1VFNsUDJISmcyZkhLRGc4SGVfYnpHd0ZqazJiaTJIc2JjNXJ1RVpSZnFXektYUEYzU2FrZTh0ckF3?oc=5,
Google News,,RRI.co.id,https://news.google.com/rss/articles/CBMinwFBVV95cUxOVG1DNTdvVHV6TlVzUTFKZ0ExaWoxLWxNOGJ4d1V1YzAwUWQwTC1sTHlTNm44QVJnTjZ1eC1XT2loRG5ld3JRVnRoOXE4VmpudG5mTkZUeDFrNmRMbnk4MDBERU1sQnRFYUVBanJORmJjd0p3UDNvUTdrblNLZnc4Vk5mQ255dnlxcTlORlJISDllc0cxU0FKdHNpNkd6YzQ?oc=5,
Google News,,Magelang Ekspres,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPVXo3SHBiZk9aWmRWcUhTb1ptblFFRGlWR0x4SVI4M2xweFRITlF4MHFoT3pXb3pDUWxkd29sNlpFR3docE5lQTlBX3VzSktxSXpLd1Bjbk1lNGVRbnlsb0d1MU5RdUJoUWhVeUs0LUhORkRGZUQzaEcwN0tvT3hGUVRUTFl3bU1FS1lvcHhPZHFKd1pJX2k0enNHcWo4N0RsYWoxSXhRUzZtNXdEZUpoNWlyb3J1S21MWUJpWExUM29zdm4xaDdtcDIwalB3VnpWYVHSAbcBQVVfeXFMTmxOSGlYNG9JeW5jMnJpeFRMd3JUZ3VjRHQtN2RuSng1OERPcV90YzQxMU9SdkRBSnI3V1ZBUjNOX0RudkhNQ1FGaWY3RlF2dDE1eDg3WXQtMU1Ld3ZsTTlMMmVaZWdyZ3VidjMxcFpJeFFncDl2eWdpQnluWVdOaDlZOEhGcnMySFV5U3h3RTMyUTB2LW9NVGlrNFNWa1VzZDc2YmtreDlGTzhxckRrb0FzWF9UNDZj?oc=5,
Google News,,Pikiran Rakyat Purwakarta,https://news.google.com/rss/articles/CBMitAFBVV95cUxORW1fdFZKdGVpNEtsMXd1SldyYTkyMGFYV1NNRDNuSjhlaHhxelVybTFaOHNDdlFZclFNUU12UE9xUnR3emUxd1NWaDBRS3NSSGFWSl9iRTQwM1Q2aHBCSi1ZVU1TRl9FYjZndFh0TmRvTlhJMEdSdnZ3X0VTNnRwVGRvWG5sbjd6NTY3YWFZTE5wWUpWeGUwMG9kTmtYTENmenFFSXBIMkdBWDE4aXlFa2RoU2XSAboBQVVfeXFMTTBrTnFJNW15OV9uUVAyVHhhVVVCMlZNam5aN2hFaWd5TllVWHBXeFNvV2NjR2xWam50VHh1MHlJb3Q1eXo2bDRjVGQwZjlDSnNwalRKd2hNVTBycnVmaHFxaG9YQ2xLSGEySHlxMDFGSEUwUlZENWlJb0Z2YVVCWWp3Ukw5a0VTaXVDUGlObnFfUnl4azQ4Sm1aQ1hKLVhKQ3lCYm50UnpEN2IwY01QdDVYNkRHY1FxNmVB?oc=5,
Google News,,Kompasiana.com,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPVDJ3YVhOb2llZjdHRWpub2dXSlpJX2puTUdrcEJsWjlfWVpUc20tZW02Yk1tV2lkSENCUTRNWkdvaUNkWHp1OF9pWTh3YTZndWJiYkhLMTJJX1RFOWMyQWx2Rkt1bVo0YVZSTmxENlk0U0c4a29ac0oxc25McHpQSHBGWHdNRjhzaUVtOV9fZ1NudUQ1RGpCaGhuTEZRZG1QRzNXaTJ6Z0_SAa4BQVVfeXFMTlZOeGo2WXFqWHpwbHItc2RYMGhEQmhaaXFIU0FGRUxCalhiTkhJUjEyUldNUWcyb0lVLXVFMHJpUjI2OFBWa2QwYnBuMi1fLUc1R0lYWUVCMThWMjNjcVl3eWtuaFR4ZmRmUkc1eHNsczdHckR2RkhZdnAxZm16V1pkd19vSG9QTDNDYm5IMUNBZkpXNTItSHYxZG1XLU1pTWRFeWdfQ05RNXEwa2pB?oc=5,
Google News,,Kompas.id,https://news.google.com/rss/articles/CBMikwFBVV95cUxPV1l3eW5ITkh2MHBUUnl4VkpJUXZXZTRuNnJXaFNPN2tpQXNDaXJkdXMtRV9vdl9UTXJoa1lvNXJ6d293MTVOQzh6QmRvUnBtRjc1eC1MZmZudU1BRVpuSW1lM0g5bWpsbkN2RGNvM093ZFFqSjB4b3VpOURSWHo1emJ1b3BSeUxwZnVJZnllam1CLVU?oc=5,
Google News,,Tempo.co,https://news.google.com/rss/articles/CBMingFBVV95cUxOQ3A3REtlOTVIdno1NDdOMEJtNVgzSjU2YWhHUFFpQWZUdVQ2d3BfUUZycDRHSmpXWmZoVEFSbTdkQVFmbEhKVDNaNWpJb1I2TU5uOEJYN3V2aXRGM1hSRmwzMlY3NEhlREpoT0F0eWhXVVUxUkt6VzhFVnVHRVdDZ0dYMER5SUd5LUtfa1M4VlVobnpRRGZrZjRUeDdKQQ?oc=5,
Google News,,jatimnow.com,https://news.google.com/rss/articles/CBMinwFBVV95cUxPdVVFV05TeHZDb00xeUY0R1REcUROWXNIU3dUU0RmcFd4S0Q3VEtRc3ktNncwRmp0SXlGbjRiUmF4cHVBX2tpVzdIR18yQ0RZWmpfX2d4dTlPa2VUWHdMT0cxcGoteE1yRUE3VzF4U1Y2U19JTDR1RVRIUWtBaUlnV3VlX3E3c3pkMEZaQnd4OHpGVGx2QUZoTFJEbGVwOEHSAaQBQVVfeXFMTktFTGt3aGhQZGM5OVU0c0Z6RjVWWlFBblJLcm9TajR6V0dxWGw4RVIzakR1V1M0WUxXakZza0JWNzNKX0toTUZDbk1iQW9sNDk1ZHFaRmlXWFlTTGhHRGhLaE14ZUFjRDRwdUN1QzdMTldmejBNQ25vekxQM0ZIdVVMX2xPamRDZ1hsU0prU1kyUThQMFhnTTBiWVl3VXQyY3JzUlI?oc=5,
