judul,tanggal,sumber,url,konten
Google News,,Minangkabaunews.com,https://news.google.com/rss/articles/CBMizwFBVV95cUxOWXVvei1NbTUzN1F3OEVPNzJSekdyYkd6aE1jZmd1ZEZHWFB1WHZ5LUxHVUp3Qm9rcXpBQUpLUTRwSDhYbEtkbkRIeTdXRzJzdURFbHJ3SVVsbl9WSDN5Z3ZLeE5FT1FxV0oyTHlFRWpqVVdaY3R6Y0phaHZxQWY5d25pQU1xWlNyTUdWQ3E5QzdlcjBacU1Jc2RnampqUmZOY2haSkVzNFRnZDlRNk95UlF0NDdWNXJsR25XV1hXempMalgxWm1IaTdTMnRDNmPSAc8BQVVfeXFMTll1b3otTW01MzdRdzhFTzcyUnpHcmJHemhNY2ZndWRGR1hQdVh2eS1MR1VKd0Jva3F6QUFKS1E0cEg4WGxLZG5ESHk3V0cyc3VERWxyd0lVbG5fVkgzeWd2S3hORU9RcVdKMkx5RUVqalVXWmN0emNKYWh2cUFmOXduaUFNcVpTck1HVkNxOUM3ZXIwWnFNSXNkZ2pqalJmTmNoWkpFczRUZ2Q5UTZPeVJRdDQ3VjVybEduV1dYV3pqTGpYMVptSGk3UzJ0QzZj?oc=5,
Google News,,Suara.com,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPTml1VV9PY3A5enV5NVp2LW5SLVM5NldaMXN2MkZkVEx2cTM5SWNERy1MYUMtajVXMWN2a1c5b1V1MnBGUzh0alJXbGM5YUluUXZXZnVaaHM3TS1TTUVHb0xLR2pNOHFqVWFXRVJONDJSOWs5Q2JUaWdqMlg3b2cxOTdXQlhzRGpqcnp6UlpPMTRZWEozSzVQZjNhcHpqTXlvQzRYLXVhRnpYNlZXVy1Db3dtS1RxbGlhTVc3YjBtWXNpVXpaOFJnNXFRLTJXb1htUXZta2VDRTctOEtoWkHSAeMBQVVfeXFMTUR1WkdUYjRFZTVMWGhTbnl4bzZMRER5aDF4VF94TmN6YUNUazRHc0g0akpickdnMERReFRhQWNWT3MzVy1lNVZhX0hlLW9lZXMtY3o4U2ZxRDhYOWstcHd5dnlaYTJmTGVsZjZoMGw1d2ZlSHJCTDVaNGZUZzNNYm91N3A2ZzJFbTZUZzJxb0U5ZER4ZkZVTVhvbGxySktjWUwwMEZKVnl1aVg5dFJEbXcxRzRoa3ZjSUFiREVYNFkzWXRZd09IQ0o4UjVmbWlCMzhnNlZfZkg5dUZhV2U1ZEtQWkU?oc=5,
Google News,,Radar Jember,https://news.google.com/rss/articles/CBMi-gFBVV95cUxPTmgyMlRicklnOFA2anBrX3lIeElvWmdSb2xydjNzS2pQYU9NYlRIWjFnZmRxTkZkbUtYQlllRkN2OWZKT2w1eW0xZE9YUUlkQXdMdDZ2NmZ3cER5b050VEVDOE12Rl9PanZESGNTa3hENlVGamphdG1jLUZlZWJWeFBCbUVqUkF5bk15RXdyQzFxdGxjcXp2TndPUkZqRXI4aFcxemhPS3FoSnZtaHZmNllRMzF1SnpGZGE4YWFGcXM0M1kwQTB2MzZvVVpQODFYS3lNSkdHd3dHZHAtdU9NYVg3RmxoRUpoR3gxaVZCdlJXdjl0UGVYSVd30gH_AUFVX3lxTFB6bVAxdkJEbllMRDk5c2RvNHVTN0djMDdGcXNoZXhtYkhFZ05qMzI5cE5mRTh1WHJLSE1vZWFVWTR1LWI1dTV0TVo3V0p4X0dONGhIUkxRSG9VZE8waWxlU0J0TnRGRHNVWDhJelpKN1ZxUmgzME96UWRCWnBSeXZ2cW8xMHV5YXA4aWU1b3paMnZxaFRXWDJTMTFYb21PRVhzVzM0bExWMURvX3l6QjdPYThweGpLVUtNemNiM2QzNDJRTTdIam5GX3cycmxSOG1DeVFYMXl2cHRTQXJLM1RXaDhaMW50bXlhS1JCU2FtTjdaSUJKczZ5Z1U0S1ctVQ?oc=5,
Google News,,Suara Merdeka,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQSTNzUGhtMlpVUS14RGZTUlp6WFoyVmIycmpqUkl6YS1QRnpvbjVoZ2JhdXBOS1hDUEVFalV4MTNkc2Vab1NMZVRXRnBNUFlFZkNzVHFuVnMwUFBOUXJycnA1bnBoTDFuVFBqNjJvSHl0QXZwRW9zekpMSS1MTE01OVZkUmctOGVHUU5VT1FLZ2ZmdEhTSkdMQUN1aERwQlY5ekNyZVluYmhBQ0hKTE1qcUU1cFFOX0dtbFVxcDM3WVlGbHQ4WUd3bzYtbWtUNWZMNmZrcHA1VktsWTBZWWdmbEh5U1VYU0Q5MmdVbGRB0gHzAUFVX3lxTE9KNk9VeS1WbVRET2pNcjZpN3cxOVZBWjdwZFB4OVl4cEdNODVRWTg5YnNLOTMyTzlNZ0llQWZvVk14STJmeUh4cDgyOGtvRnJsYlByN0RpeWQxbUFaTHhyNHZtVXJUQ3QtRlVoSFlIVUVvMXhVamp4bmhvMDlCZVpBMGMxbjhIQ21WdWI4T3dXUEFHQW5iWDFCXzhMTG04T3ljM3hJTkpoMmEzMURObUEtQWZJVUlrcE9GZjE5QzVQODFkOWJwZHREV2ZUUVExR0xuYWVmTGx3RFctU0N4aVo1Q1lHODgydDRBbVN0eWhURDl0TQ?oc=5,
Google News,,iNews.ID,https://news.google.com/rss/articles/CBMiywFBVV95cUxNbEczbnNKRl9JeWltVE1rUmdNYUhVR01WZXJESWhEVTZJbVdYVTROaWItVEhmSkV3Q0ZSSjdRYlFyalN0RFFnQnV0Tk1ZNEpGUjI3MlZKYlhnRE1nMUhQUHhxLWNhcnVYMHVMS0JwbzBiM3FDSWRHeHRrWjlLN3d1Y0RIdWRSMXUxT0VOT1VLMXRDS2FEVnB4STBlaGtBZjJwaGd5YW9EU1hRYVN6cF9UdkhuWkxzWnBCYmNYdmtyS0QtcFdGb0Z6WkNpY9IBygFBVV95cUxQWmJid2U4TWk3c09PQ3VmTWFtZVVJV281aDhVWmlMdURId2RIVER4c3pOemFIaTI0dHU3eDlSLWZ4ZTBmV1VfeFdIeHVUWUh5bGc0WlIyTDVuY2NCNG1SSjlBSEppQW1LX01saEJjd1U3UUFsZ0FneWtxTlZUVWllSVMtVFMyeDRfSFBvdV8xQllDQzJqemd0R3REY3o4d1FnYS1Vbkw2RFFMeGZ3VEpHTm5MaXhicFlSZUh6TVlBUk5KcFU1UDdobjJR?oc=5,
Google News,,Berita Nasional - Media Pencerah Bangsa,https://news.google.com/rss/articles/CBMitgFBVV95cUxPUWhmcFpMQ3BmcjV1eF8yNDhiRGZlS0xNQWFPUEtoVE1FM0ZvU2pSZnNzRFFqdTJwMjBSel9HZ3JIMkJ3YzJaUHRIVWVkNjc3WWNyS040QVY2c1pZVk5vSjVzN3dqX1FsakJwLUtUUktGcmJUQnQ1RGRZcWdlOUNVQVYybnNBMmJtZDV1TFFuYlZFdlpITWs2cVdRRjZTWlpTcE1TRDhpNGNBWU1OR1RqeW9PQjFMZw?oc=5,
Google News,,Medcom.id,https://news.google.com/rss/articles/CBMisgFBVV95cUxPNWUzcjNnMFRZeURmVk10b19XUHZ2LW9CM090N1NiSTZTSDJ6V3VGZkdGcHVoNDF1ZGxZNW90OGEtMGF1SkRtYk5ZLUtLU2I0TklTRkVYS0E1Ym0wNVVjLVlHcl92MWZrY3JPRXVYcjFPWnhJVFFLZFZXMWpWRVA5dXFnNTFXQlA0SVFLVERhLVh4bU9ickdJbDNnWjZya3hQdW0zTWFfTUVQLVNWM0tKNG13?oc=5,
Google News,,primetimes.id,https://news.google.com/rss/articles/CBMirgFBVV95cUxNZVVzSzVUckNvR0luWW1ZVVBHSXltbV9DcGROcTNkZGNtZTFseG9sYjZOVFZ1ci1oUkdXd3B6SHE0ZmgzMjNnQk1NUTVOSzl1Um81MDNieWRqVnRCV1A0MWQ1UkJiQWl6NTFqU3V1MTc4MXlneDlqSEZNSVZpU2p6WUFPZ1BwMERVODJqanRQcVBtcVd2bEl3STNWVDB4bkJBOERPWl9YY0hCN01VYkE?oc=5,
Google News,,Radar Surabaya,https://news.google.com/rss/articles/CBMi9gFBVV95cUxOMjIxWTFrNko2RFdPRzdHOEFQS25JSW9wWXlLZWVrOWU2R0dSbUoxMXdNRzRlUGxXUWE5dmtoZ0dnVlZuQjJEUjUwQWo4VHdadVFKYkUzaFpoOUNyWGJONXFCZWVxUF9xbi14RmxpcHZteGp0ZkNzWTlzU1N3dUwzdzk2WFZPZFBHRkZTbUJDbUpkV1BNeVVYY0t1dDVXajNpNHRYdVpiWGQwb1gwb2ZrZDRsTVBuSlo3aVF0OUVJXzBKVXNQSzNNaFl1bFltaHhfU3pZYTlZakxERnZOLVR0YllsZDVUNk9YMW43N1pJOFJ5T0d5WlHSAfsBQVVfeXFMUEFyQS1qTkhFSWFhVlBXNjJPV0E0OTVOaEozUVlJb0dZdjRudG05VkZScDBYVDFQa1diR01FQU4tZVJ3d2tIZ3hsbzdUU1lPUGdaMkoyU0h5dEdHRUVmNkJYRDZlU1ktXzN2cmtwUG5UanZxMGh2VXp4Rm5qQUxDaVpIMnR4ZGhTRUF3eTlOWkNfM2JyT2JPeHJMcHRqUVAxendKSGZybXlJTHRYYnR4SXBqYWlWVzVoU2pKZUktR09pcnp4YlhvU1hPOVlINERLVjAtTGEwYlBnVVJQYWtTOWxmRnhOZHRHN1hua1BRSWRoWFVnaFViNFd6eVk?oc=5,
Google News,,Suara Merdeka,https://news.google.com/rss/articles/CBMivgFBVV95cUxPbldiSEZHRXl2QkhoY3FpU2MzVkI4SDgyOXNqRjRzbGxaUHdXTVc4UmFEOXJhazVKUW16MGZzZVNTRE5IbUwxMjNDdUtXZV95c0xLSlhzWmxDYW9iMW1NVTBYX0cwOVRoNVpUOXZRNzI3X0s3VWE2VF94T1NUQjd3WXFCeFNRZzBMT2xSQlN2SGJNdEhfZ0RiRGQtb1N1MzlSR2VhMXJ3aU0wUnpDNHZXVHRvTFNVc25rNWJEVEdn0gHDAUFVX3lxTE1PaU10LVNaTzlZSGM1VlhBaXB6TjBsM1hjRGNic2FCSm4yQmh6aFpmeDlQWEc2SGVZbzlZQ0pmZ21IQ0JhenJVUHI0dEh2VGVqb3QwdEsweTN0REJDNjB0N2tZTEFwVHlHMkxhRmZVMW16SnRnTXpERWxjZEM4anVRLUpMMERCRGpUc1dZaHNaZzNlZnFsbVRSNEpfY1Q2WXQ0UXFIdk9oaHBIdTlUOVp3UHJBNWVfT1BkWENjbXJxOU5Udw?oc=5,
