keyword,judul,tanggal,sumber,source_url,url_google,url_resolved,konten,authors,tags,top_image,resolution_status,parse_status
Makan Bergizi Gratis,"Wamendukbangga: Distribusi MBG untuk Ibu Hamil, Menyusui, da - Tribrata News",,Tribrata News,https://tribratanews.polri.go.id,https://news.google.com/rss/articles/CBMi3gFBVV95cUxONnZSMEZDcjA1eGFDZFpfMzhIYm84cU42QUIzMXdENHpSbWRkV3pReWhDUW92eUFaNV91NnlrcWtZTHM5TC1Ed1BlQ0Fhb1ZYMVQzdGNmUHVIRkRZTnZrRjhkWGFXNFdsbDIwZFFvV3U2RHgwNmVJbmwtNlNwX25rWGRwb1NvNEFGSTdncWpzT3lDVUFwNVAyQzZjdGlDaDRDVW52dC1LbXhTblZnaWE0LXdmOHlrS1BJQXliSFNaNWZ0TG1VdDhqNW5tOHNscGVDV1ExSy0yZGhjdk5WZlE?oc=5,https://tribratanews.polri.go.id/blog/nasional-3/wamendukbangga-distribusi-mbg-untuk-ibu-hamil-menyusui-dan-balita-harus-ditingkatkan-100458,FAILED_TO_PARSE,,,,success,failed: Failed to parse article at https://tribratanews.polri.go.id/blog/nasional-3/wamendukbangga-distribusi-mbg-untuk-ibu-hamil-menyusui-dan-balita-harus-ditingkatkan-100458: 'Article' object has no attribute 'set_html'
Makan Bergizi Gratis,Makan Gratis dan Pertaruhan Politik Anggaran - Tempo.co,,Tempo.co,https://koran.tempo.co,https://news.google.com/rss/articles/CBMijgFBVV95cUxPZWFsVmIwMkhrRUFSYW5IUjVNX2ljbmRUYXo4UEVhNFFFZlJxMXNZWGg5SDJXTS1zYV9BOGFjZzRZXzhPM2JTc0VvQnJ5RTg3clBrQWZOeWpTeW9Qb29OakFhLWgybG54ZnVFNkJtQUpLT1NLNzhfRDdSMGRnVjBfY1ZyYzBsV3otMGdLcGpn?oc=5,https://www.tempo.co/kolom/mbg-dan-pertaruhan-politik-anggaran-2126815,FAILED_TO_PARSE,,,,success,failed: Failed to parse article at https://www.tempo.co/kolom/mbg-dan-pertaruhan-politik-anggaran-2126815: 'Article' object has no attribute 'set_html'
Makan Bergizi Gratis,Mendes Ingatkan Mitra Dapur MBG Tak Main-main dengan Aturan yang Ada - detikNews,,detikNews,https://news.detik.com,https://news.google.com/rss/articles/CBMirAFBVV95cUxPc2dkWk9aX2sxSnhMTTNZdjIwTTRwWC1Cc2JmN0pqLUd6Yk5IZnlkLUxPTGN6UnV6SUY1ckdBTlAyeGNBeldDNUlXc1Vna0JyZnI5bS1vaTJoQlVUUnlIRHJSTHBJTmtSLUhzZm9CRENwOWFGa3Bma1UzWVY4QXg5UHhtUEhfZkR3dU1PSTV2bS1Qc3kxNVUxNncyNXltNnNyZ0pDSVpjS1NxbFdW0gGyAUFVX3lxTE5LcUdVaXZFUDBkSnNMMmFKc3ZhOWpQNWRVcy0zSHBtOC1qYjRMaS12amU0VXZiSnU0MDF6LW53cjNtdFdXaWFYbWZ1LUlkQjhfT0J6SzQwQXhILXJsY0l4LXZydk1SQzEtWW1CVzFSQ3NKYVdyaThyQk9CblluSFlRRXhvdkJ2NHpGWS1WM3hWSC1lWllSRDE5SmdTbGYwRkM0blN5Zzd0dGVHN0s0OTlRVkE?oc=5,https://news.google.com/rss/articles/CBMirAFBVV95cUxPc2dkWk9aX2sxSnhMTTNZdjIwTTRwWC1Cc2JmN0pqLUd6Yk5IZnlkLUxPTGN6UnV6SUY1ckdBTlAyeGNBeldDNUlXc1Vna0JyZnI5bS1vaTJoQlVUUnlIRHJSTHBJTmtSLUhzZm9CRENwOWFGa3Bma1UzWVY4QXg5UHhtUEhfZkR3dU1PSTV2bS1Qc3kxNVUxNncyNXltNnNyZ0pDSVpjS1NxbFdW0gGyAUFVX3lxTE5LcUdVaXZFUDBkSnNMMmFKc3ZhOWpQNWRVcy0zSHBtOC1qYjRMaS12amU0VXZiSnU0MDF6LW53cjNtdFdXaWFYbWZ1LUlkQjhfT0J6SzQwQXhILXJsY0l4LXZydk1SQzEtWW1CVzFSQ3NKYVdyaThyQk9CblluSFlRRXhvdkJ2NHpGWS1WM3hWSC1lWllSRDE5SmdTbGYwRkM0blN5Zzd0dGVHN0s0OTlRVkE?oc=5,NO_CONTENT_EXTRACTED,,,,failed: url_resolution_error,success
Makan Bergizi Gratis,Viral Dapur Makan Bergizi Gratis di Cakung Dibangun di belakang TPS dan Tumpukan Sampah - video.tribunnews.com,,video.tribunnews.com,https://video.tribunnews.com,https://news.google.com/rss/articles/CBMixwFBVV95cUxPTGZZeEl4UEZEVDJwdGJ4WFZzSXUtdGZCR2UxTUhhSmpxZHZFVFZZaHQycFFQbENwWGFDcXY2dU1pU0N6d3pFTU1iM1RLdENtQWphZDBCYThBWWQyOEZicTBvRlJzdzJSb2w4VlRyVFN2YVAtZmZ2ZUtlcnNHaXI3bl9GX3dMVkNiOUNZRUNoMmxkRE1GaWkxUTV1VUM4bDhhZTBFOExVQXJRSlNBaGJnTVhOZTRDSHVCYTd3SWtCYjdnSDFMVEc0?oc=5,https://video.tribunnews.com/news/925177/viral-dapur-makan-bergizi-gratis-di-cakung-dibangun-di-belakang-tps-dan-tumpukan-sampah,FAILED_TO_PARSE,,,,success,failed: Failed to parse article at https://video.tribunnews.com/news/925177/viral-dapur-makan-bergizi-gratis-di-cakung-dibangun-di-belakang-tps-dan-tumpukan-sampah: 'Article' object has no attribute 'set_html'
Makan Bergizi Gratis,"Muh Haris Dorong Program Makan Bergizi Gratis Tepat Sasaran, Libatkan Ekonomi Lokal - JPNN.com",,JPNN.com,https://jateng.jpnn.com,https://news.google.com/rss/articles/CBMixgFBVV95cUxPXzhuMkxGUlNwVW1uZW1uekVzOU9BVmpWQklpT3c1VE9xaGx5ckYxWEJIRWw1SnN3QXlxRTJCQ3ZfbUQ0b1VKV09QUnM3UWtpallNR3B5YjFzTjM1YjlZT2J3eFZla19wQU51SlF4QnlNN1FuNHJrZThKbDBlV0RHWUxTdC1kZVNlWEpoSXA4S2JONHJkZ2U2bkhSN3d3TWg1cVVmem9selgzSjc3a25IclNHblktcElwREdzV21DSThIS25aRmc?oc=5,https://jateng.jpnn.com/jateng-terkini/19807/muh-haris-dorong-program-makan-bergizi-gratis-tepat-sasaran-libatkan-ekonomi-lokal,FAILED_TO_PARSE,,,,success,failed: Failed to parse article at https://jateng.jpnn.com/jateng-terkini/19807/muh-haris-dorong-program-makan-bergizi-gratis-tepat-sasaran-libatkan-ekonomi-lokal: 'Article' object has no attribute 'set_html'
Makan Bergizi Gratis,MBG: Program Makan atau Mesin Ekonomi yang Kita Abaikan? - nasional.sindonews.com,,nasional.sindonews.com,https://nasional.sindonews.com,https://news.google.com/rss/articles/CBMisgFBVV95cUxORUNvemRQSUZWbFpvakpibDZKM0M0T2xHMXg5cFN0LU40Ui1FSXJUSkZHSE1wZFhXM3Y1bEV5OTEtbkxJLUZXbVBWaEhud20waHNzSlVJSlN5REhnQ1N3Wk1CdFFtOVlNZ3NjMGhYLUNSanhoU1hXXzduaGNWT2hLSVg0UXlmNHdyVEtzSHFRNlNCUElZcVNtejNPbEVVSXhiem9kLVJkRlpWZlpib0JraFpB0gG3AUFVX3lxTFBhZXF0WDB6aE9scmZCeFZmcUFUQkpaVzhGblZaYk9La1h2NVRja0huTzdZMUNDWWRRN0xGbmEwZDJLTERjTUZKNG9Fc09sNHE4Nk9uRHFmU2VWeEx5dFc0YlplOEJuQVk1X2QyWXVNbXBRMENBaFZGZi10MEZYQzJGcnMwanIyd3JGa1V1ZUxnNzJNb05lQTRTc2E4SjFYbjlRckF3ME9MYXRRYUphTGJMYk5SLWktOA?oc=5,https://nasional.sindonews.com/read/1692965/18/mbg-program-makan-atau-mesin-ekonomi-yang-kita-abaikan-1775214292,FAILED_TO_PARSE,,,,success,failed: Failed to parse article at https://nasional.sindonews.com/read/1692965/18/mbg-program-makan-atau-mesin-ekonomi-yang-kita-abaikan-1775214292: 'Article' object has no attribute 'set_html'
Makan Bergizi Gratis,Pedagang Melon di Pasar Gede Solo Rasakan Peningkatan Ekonomi Sejak Ada MBG - Liputan6.com,,Liputan6.com,https://www.liputan6.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxOMjBuYWNyNVFIMjAxQU01ZDlhdHBXLV9mRm96SDVoWWFkTWoyVFhvM0pCeWhkVHllemZYUEtnYnhhQ3BQdHZyal91dnVtNkJZRjlpb0Y4VmdnVU40aUk1QmZXbHBiNnZKbjY5NC1KWjlvVjhTRnpjUE9CSGlVNUFIUnpzajhxRGFfeTJkcm9WRkxXUkc1SzgwYm5fRjZjV2RlUnFBYjlfWFVpVERqM1hxUVNPeXNGSDd2aEpKTkRVRQ?oc=5,https://www.liputan6.com/regional/read/6310544/pedagang-melon-di-pasar-gede-solo-rasakan-peningkatan-ekonomi-sejak-ada-mbg,FAILED_TO_PARSE,,,,success,failed: Failed to parse article at https://www.liputan6.com/regional/read/6310544/pedagang-melon-di-pasar-gede-solo-rasakan-peningkatan-ekonomi-sejak-ada-mbg: 'Article' object has no attribute 'set_html'
Makan Bergizi Gratis,BGN Cek SPPG di Pondok Kelapa yang Bikin 72 Siswa Keracunan MBG - detikNews,,detikNews,https://news.detik.com,https://news.google.com/rss/articles/CBMipgFBVV95cUxOTzlfT3ZDT25CX0JHRjgycEVlb1lKOEVNbDB0Vl90VmpfWTdQbFBCUGhZUzRiLVZJeDZoeGJ1elVMLXdlWS15LWg4QVdLNW9NSXhDYUNSb2M4aTZ2dTloWUlPWTM2T3hQQ3FSWUlVZi1vTDY3b0hLWG9pdTRFUnd2THBUX3Fvc0dXX1hvYXhZRVYzOXdHdFFVb0dPOGdMUkpDOC1PNmV30gGrAUFVX3lxTE9GWnBOc2Nod2pSZm1UVUxoeTdmV0VRZndQb196Mk9Vck42RzlwcTEzY2IyaUM1eWZUeENmMkQ3U3c4TVROYVFHWGVzN0d5UmRxTmlSbllSMTlFNWlZOWo2YlVVZVlPOVU1TmZDX0tNVUtvbVFYemNiWHFSbTRUelhBOTB3ckhQMzFNcl83MWdOOGYtVGd5eFd5S1ZvZjMyanNQVWllam1rYzdvWQ?oc=5,https://news.google.com/rss/articles/CBMipgFBVV95cUxOTzlfT3ZDT25CX0JHRjgycEVlb1lKOEVNbDB0Vl90VmpfWTdQbFBCUGhZUzRiLVZJeDZoeGJ1elVMLXdlWS15LWg4QVdLNW9NSXhDYUNSb2M4aTZ2dTloWUlPWTM2T3hQQ3FSWUlVZi1vTDY3b0hLWG9pdTRFUnd2THBUX3Fvc0dXX1hvYXhZRVYzOXdHdFFVb0dPOGdMUkpDOC1PNmV30gGrAUFVX3lxTE9GWnBOc2Nod2pSZm1UVUxoeTdmV0VRZndQb196Mk9Vck42RzlwcTEzY2IyaUM1eWZUeENmMkQ3U3c4TVROYVFHWGVzN0d5UmRxTmlSbllSMTlFNWlZOWo2YlVVZVlPOVU1TmZDX0tNVUtvbVFYemNiWHFSbTRUelhBOTB3ckhQMzFNcl83MWdOOGYtVGd5eFd5S1ZvZjMyanNQVWllam1rYzdvWQ?oc=5,NO_CONTENT_EXTRACTED,,,,failed: url_resolution_error,success
Makan Bergizi Gratis,"Hadir di Desa Blega Bangkalan, Program MBG Dorong Peningkatan Kualitas SDM - beritajatim.com",,beritajatim.com,https://beritajatim.com,https://news.google.com/rss/articles/CBMingFBVV95cUxOY0RJVUp4OU56TVpseTBzU296Xy1PWHh0dGF0ZUpzNnVZSk9oZnMyMmNtbmtjSkh0UUdlV2JMZ1VidVlnaVpUcUVEaVF0MFkwZll4R2lUbDJObU1XVHBYdUhUUVViSzJWcTZEbU5MdGo0RURWdGZLSUdpSFM1YzlTZFRjdUtDQ0dsdEtJMWxuejlCN2ZZLUp2QUFZVDJBQQ?oc=5,https://beritajatim.com/hadir-di-desa-blega-bangkalan-program-mbg-dorong-peningkatan-kualitas-sdm,FAILED_TO_PARSE,,,,success,failed: Failed to parse article at https://beritajatim.com/hadir-di-desa-blega-bangkalan-program-mbg-dorong-peningkatan-kualitas-sdm: 'Article' object has no attribute 'set_html'
Makan Bergizi Gratis,"Melihat Praktik Kyushoku, Program MBG di Jepang yang Tak Cuma Makan Tapi Pembentukan Karakter Anak - Warta Ekonomi",,Warta Ekonomi,https://wartaekonomi.co.id,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOT3Q2N1M1bnRWRDdVbld4ajV5dWFHZ3NmWjZZQXlfYm1ycmFTZFVqUXpFS0E5M2h4cTRvRmppUUFDZHYtQkdfYlZjYTJjVG1kTWw5MGtIS21WZ1hQSy1YMEFhXzZyMm5tLUhFa0owRV85Y3djamptQUxrWVFieGxEOHJtd0Q5MDMyaU1YV05seDZpU3dLUF9hR2Q5eDVDTTk4SHUtM0d5VExEVll1ZTg5RXR6QUh3aHdjbTdMbnpqbWZxcWVMODZ1X3VLSW5HNDFo0gHWAUFVX3lxTFB3LUJ4VU1mVUtWdDVRRDdUMEItM2pDSUh6VUNXdFpEZ3JSZFNGbkRMZkk0dS1rbHdKUDdkQTNkOFRoY25UczA2cGRuMUJib1JWV3ZFOU04LVZ4OENVbzhJa1F1bXYtTG5TcjJqc3dlNzJGVW5fUURSVXQ0SmEwSjk5emtWWGVsamc0R1ZzZTlMVUhPRFZwcGRCLUVwRG5DbFVSMng2LVFyLWJDX3AxbE13ZDdndDFzNmhWWmRGUlhaVUhnZHRlTnlRTDQzb1ZhT1RwQjZQTlE?oc=5,https://wartaekonomi.co.id/read606799/melihat-praktik-kyushoku-program-mbg-di-jepang-yang-tak-cuma-makan-tapi-pembentukan-karakter-anak,FAILED_TO_PARSE,,,,success,failed: Failed to parse article at https://wartaekonomi.co.id/read606799/melihat-praktik-kyushoku-program-mbg-di-jepang-yang-tak-cuma-makan-tapi-pembentukan-karakter-anak: 'Article' object has no attribute 'set_html'
