unigram,frekuensi
program,2616
mbg,2004
gizi,1936
makan,1468
sppg,1367
anak,1344
gratis,1168
makanan,1161
bergizi,1093
pemerintah,1055
nasional,1010
sekolah,933
badan,845
bgn,765
presiden,746
indonesia,735
pangan,624
anggaran,611
masyarakat,609
kesehatan,607
dapur,605
daerah,569
rp,568
siswa,563
april,562
pendidikan,554
jakarta,512
kepala,507
prabowo,501
standar,491
pemenuhan,490
pelaksanaan,445
kebijakan,445
siang,441
menu,425
negara,424
kualitas,421
operasional,408
terkait,393
langsung,367
selasa,356
pelayanan,355
keracunan,351
penerima,343
ekonomi,341
satuan,336
manfaat,321
kerja,318
nomor,308
bahan,306
sesuai,305
pusat,296
kementerian,294
sumber,292
wilayah,287
peraturan,283
perpres,282
triliun,274
memiliki,272
pengawasan,270
lokal,267
senin,260
lapangan,258
memenuhi,256
iklan,255
keamanan,252
kabupaten,252
sistem,249
berjalan,246
juta,246
tata,244
baca,242
desa,240
maret,226
informasi,226
proses,225
lembaga,220
meningkatkan,219
distribusi,219
wakil,217
bidang,216
orang,215
komunikasi,212
guru,210
salah,209
sosial,209
kondisi,209
com,207
kelola,205
kebutuhan,201
rumah,199
sehat,196
kota,196
kantor,194
dinas,193
berita,192
utama,189
evaluasi,189
media,189
hamil,186
wib,185
tugas,183
mendukung,182
langkah,179
timur,178
lokasi,176
dadan,171
menteri,169
pondok,168
kegiatan,168
teknis,168
tenaga,168
publik,167
pasal,164
laporan,164
persen,164
fasilitas,163
khusus,161
resmi,160
surat,160
dasar,157
koordinasi,157
pembangunan,156
sasaran,156
kelompok,155
dpr,154
peningkatan,150
data,147
layanan,146
generasi,144
limbah,144
mitra,144
kelapa,143
jawa,141
pengelolaan,141
subianto,140
unit,139
hasil,136
ahli,135
provinsi,134
hukum,134
prioritas,133
slhs,132
dampak,131
kamis,130
strategis,130
mencapai,129
berdasarkan,129
diharapkan,129
ipal,129
aspek,129
biaya,129
tempo,128
fungsi,127
pengolahan,126
minggu,126
masuk,126
lingkungan,126
porsi,125
memperkuat,124
bantuan,124
gambar,124
yayasan,124
susu,123
sisi,123
buah,122
sabtu,122
bentuk,121
dukungan,121
ham,120
penyaluran,118
jumat,118
mendorong,118
korban,118
balita,117
politik,117
kecamatan,116
ketua,116
menyusui,115
beroperasi,115
usia,115
angka,115
menerima,115
umkm,115
pengelola,115
barat,115
nanik,115
ri,114
total,114
dana,113
rakyat,113
januari,113
harga,112
air,112
undang,111
manusia,110
news,110
risiko,110
baku,110
uji,110
pppk,110
negeri,109
upaya,109
sektor,109
menurutnya,108
rabu,108
mengalami,108
lansia,108
penyelenggaraan,107
ditetapkan,107
usaha,106
bangsa,105
apbn,105
bupati,105
editor,104
koperasi,104
satgas,103
keuangan,103
tingkat,102
pembentukan,102
fokus,102
jokowi,102
penyediaan,101
warga,100
email,100
implementasi,99
petugas,99
perbaikan,97
daya,97
belajar,97
foto,97
utara,97
prosedur,96
penguatan,96
sanitasi,95
pertumbuhan,94
ayam,94
dinilai,94
nasi,94
rapat,93
kejadian,93
sakit,93
menciptakan,92
pelaksana,92
membutuhkan,91
ruang,91
wajib,91
pemberian,90
menjaga,90
melaksanakan,90
dilaksanakan,90
