judul,link,portal_berita,sentimen_prediksi,confidence,label_manual,text_berita_clean
Andi Gani: Yang Teriak MBG Tak Bermanfaat Depan Prabowo Buruh Lajang - CNN Indonesia,https://www.cnnindonesia.com/nasional/20260504203904-20-1355054/andi-gani-yang-teriak-mbg-tak-bermanfaat-depan-prabowo-buruh-lajang,CNN Indonesia,Negatif,0.996148943901062,Netral,ketua panitia may day presiden konfederasi serikat kerja indonesia kspsi andi gani nena wea respons video viral ria buruh sebut program makan gizi gratis presidenprabowo subianto andi suara tolak nyaring may day asal baris kerja keluarga identifikasi intervensi terima lajang andi gani hotel grand mansion menteng jakarta pusat to continue with turut tanggung anak dana program perintah nilai manfaat alih butuh lajang ya anak ya tolak ngapain dana butuh ya mesti tegas andi andi sebut aksi spontan bentuk murni bebas dapat kaum buruh kelompok kerja rumah tangga program dukung penuh gera buruh nggak tekan tekan tegas kelompok buruh terima keluarga terima manfaat terima anak anak andi prabowo manfaat program buruh tekan program andal generasi prabowo pidato massa aksi buruh internasional may day monumen nasional monas jakarta pusat jumat manfaat prabowo teriak buruh
"Konsolidasi Bersama Badan Gizi Nasional dan Gubernur Jambi, Perkukuh Komitmen Dukung Program MBG - Polri",https://mediahub.polri.go.id/in/image/detail/455550-konsolidasi-bersama-badan-gizi-nasional-dan-gubernur-jambi-perkukuh-komitmen-dukung-program-mbg,Polri,Netral,0.9804598093032837,Positif,unggah olehmabes polri diupdate wib kreator opr poldajambi jambi rapat konsolidasi program makan gizi gratis provinsi jambi sabtu hotel bw luxury jambi acara dukung wakapolda jambi brigjen pol ali hadir lancar program giat pimpin wakil kepala badan gizi nasional irjen pol purn sony sonjaya hadir jabat gubernur jambi al haris anggota dpr komisi bakri hm komisi xii rocky candra sekda provinsi jambi dr sudirman jabat lingkung perintah awas sambut gubernur al haris program jambi arah presiden cakup sekolah laksana program gizi sppg sebar wilayah provinsi program khusus bidik kelompok anak anak hamil susu dampak rasa masyarakat laku usaha lokal program makan gizi gratis baik kualitas gizi masyarakat buka lapang kerja gerak ekonomi daerah gubernur al haris hasil program gantung konsolidasi kolaborasi erat perintah swasta laksana lapang wakil kepala sony sonjaya program strategis upaya tingkat kualitas manusia indonesia visi indonesia emas asupan gizi kelompok rentan kurang angka stunting malnutrisi sony sonjaya menggarisbawahi seragam persepsi laksana kuat mekanisme awas hindar potensi disinformasi transparansi penuh standar operasi prosedur sop buka adu masyarakat krusial program sisi ekonomi program jambi catat serap dana miliar buka ribu lapang kerja program kontribusi daya usaha mikro tengah umkm pangan lokal hadir wakapolda jambi rapat komitmen polri program aman tertib sasar kepala humas polda jambi kombes pol erlan munaji keikutsertaan wakapolda wujud nyata dukung institusi polisi program perintah polda jambi sepenuh program makan gizi gratis hadir wakapolda rapat konsolidasi tanda komitmen awal jaga aman tertib program sinergi lanjut jaga awas stabilitas program sinergi kuat program lancar manfaat masyarakat kualitas manusia provinsi jambi simpan bagi komentar
Mengapa Dapur MBG Bisa Beroperasi Tanpa Memenuhi SOP - Tempo.co,https://www.tempo.co/politik/limbah-dapur-mbg-sppg-2133643,Tempo.co,Negatif,0.9995242357254028,Negatif,badan gizi nasional sanksi setop operasi layan penuh gizi sppg dapur makan gizi gratis sulawesi maret puluh dapur instalasi olah air limbah ipal sertifikat laik higiene sanitasi slhs
"Cerita Sony Sonjaya, Program Makan Bergizi Gratis Dibangun Tanpa Kontrak, Modal Kepercayaan - JPNN.com",https://jabar.jpnn.com/jabar-terkini/30913/cerita-sony-sonjaya-program-makan-bergizi-gratis-dibangun-tanpa-kontrak-modal-kepercayaan,JPNN.com,Netral,0.9995020627975464,Positif,jabar jpnn com kota bandung program makan gizi gratis kenal luas masyarakat proses serba batas wakil kepala badan gizi nasional irjen pol purn sony sonjaya cikal program rintis oktober bentuk pres agustus isi pimpin kepala wakil kepala loedwig pusung dukung rawan sony terang kutip rawan sony gelar diskusi intensif rumus konsep program nama makan gratis meta potensi libat program usaha jaring pribadi nilai kapasitas bantu sony dekat sederhana tantang calon mitra telepon gelar temu sebut vendor mitra cari percaya program formal spk pks sony aku tahap calon mitra jelas kontrak kerja sony pilih fokus yakin program sila konten tarik jpnn com jabar digoogle
Sejarah Makan Bergizi Gratis dan Awal Pendirian BGN: Berawal dari Tim Kecil Jadi Program Nasional - Tribuncirebon.com,https://cirebon.tribunnews.com/news/182124/sejarah-makan-bergizi-gratis-dan-awal-pendirian-bgn-berawal-dari-tim-kecil-jadi-program-nasional,Tribuncirebon.com,Netral,0.9996194839477539,Positif,halo profile kirim images logout masuk akun akun daftar akun pedoman media siber hubung privacy policy redaksi download tribunxuntuk android ios tribuncirebon com oktober tonggak lahirnyaprogram makan gizi gratis inisiatif strategis perintah kenal luas upaya kualitas gizi masyarakat indonesia besar program simpan kisah sederhana tim semangat visi kuat agustus lahir pres oktober personel ka pusung waka dukung rawan update harga emas antam turun ribu indramayu majalengka sentuh puncak pekan bentuk badan gizi nasional kuat personel inti kepala wakil kepala loedwig pusung batas rawan gabung aktif diskus rumus konsep dasar program kenal makan gratis rawan libat sosok iring jalan duduk posisi strategis jabat eselon ii lingkung fokus bangun dukung luas tentu kontribusi sukses program update harga emas antam turun ribu indramayu majalengka sentuh puncak pekan bangun jaring dukung realisasi program rawan tugas jangkau jaring daerah usaha kolega keluarga nilai kapasitas program bentuk dukung bangun dapur sedia alat dana operasional capai dekat personal komunikasi telepon temu konsep program tarik gabung posisi vendor mitra dasar percaya visi hubung kontraktual calon mitra pasti administrasi spk pks tim tekan komitmen percaya tahap lonjak harga emas antam indramayu majalengka loyo gram gin tim sadar hasil program gantung kuat tuntut informasi cepat akurat dapur terima manfaat distribusi makan kumpul libat aparat wilayah babinsa lapor jenjang tingkat komando integrasi dapodik emis menteri agama bkkbn tepat sasar terima manfaat lapor bas teknologi krusial lanjut program bekal alam nasional rawan rancang lapor nama ppmbg momentum buruh harga emas antam cirebon kuningan lonjak ribu rancang kelola sppg layan penuh gizi sebar lokasi lahan milik teritorial tni matang kunjung warung kiara proyek contoh pertamambg sama operasional dapur bojong koneng sempurna
Sony Sanjaya Memaparkan Sejarah Makan Bergizi Gratis dan Pendirian Badan Gizi Nasional - Media Indonesia,https://mediaindonesia.com/jabar/berita/886539/sony-sanjaya-memaparkan-sejarah-makan-bergizi-gratis-dan-pendirian-badan-gizi-nasional,Media Indonesia,Netral,0.9997429251670837,Positif,keras seksual lembaga didik toleransi hadir program makan gizi gratis masyarakat oktober agustus badan gizi nasional lahir pres oktober personel kepala loedwig pusung wakil kepala dukung rawan rawan rawan duduk diskus bahas bentuk giat libat dukung program rawan eselon ii wakil kepala badan gizi nasional irjen pol sony sonjaya bandung bahas cari banyak libat program makan gratis serangga menu sesuai potensi daerah bagi tugas rawan gerak daerah tugas relasi hubung kenal usaha rekan sahabat famili nilai kapabilitas mampu program bangun dapur beli alat dapur sedia dana talang besar papar mekanisme tambah triliun cepat capai terima mekanisme telepon kumpul tarik temu temu tarik percaya program mitra vendor surat janji kerja kontrak spk nama program perintah spk bentuk program spk janji kerja pks papar sony spk cari spk cari jelas program program mitra pikir program dapur terima manfaat porsi makan distribusi tekad program sony papar albertus dony kumpul calon terima manfaat data dikompulir babinsa lapor jenjang danramil dandim pangdam aster kodam doni terus update cari terima manfaat dapodik emis kemenag bkkbn tugas anggota polri tari proses data senantiasa pikir sistem kerja dukung hasil kerja mudah dukung yg bangun mudah papar sony program lapor perwira polri akrab software ws ws ws kenal lotus kenal wysiwyg pagemaker kembang ms word excel powerpoint sony aku ajar ms powerpoint mayor polisi badrodin haiti wakapolres jakarta timur bekal alam polri tugas lapor satgas program prioritas kapolri satgas gagas wakapolri budi gunawan jenderal badrodin haiti kapolri lapor program promoter jenderal tito karnavian kapolri manajemen sidi legacy aridono kabareskrim lapor satgas nusantara yg pimpin fadil imran sppt ti dilaunching presiden joko widodo bekal rancang lapor program tahap lapor nama ppmbg rancang tampung data lampir sppg bangun lahan lahan kodim operasional awal program luncur sama kunjung warung kiara pilot project program tim programmer dituhaskan sri telkom sama operasional pilot project program dapur bojong koneng nama upmb layan makan gizi kembang fleet management pop pos sony fleet management pop implementasi lapor operasional dapur warung kiara bojong koneng bojong koneng milik presiden prabowo subianto peristiwa minggu malam arus lintas ganggu jalur kerja ekspor impor bulan maret turun posisi neraca dagang jawa barat kokoh zona hijau pohon meter diameter cm roboh sd negeri mandiri tani tantang tani kompleks tema ingat didik nasional kuat partisipasi semesta wujud didik mutu ribu nelayan anak buah kapal abk anggur tinggi harga bahan bakar minyak bbm nonsubsidi kapal henti laut remaja warga desa cikondang camat cibeber kabupaten cianjur jebak banjir bandang luap sungai hujan deras minggu malam modal nasional madani pnm sinergi batalyon infanteri teritorial bangun yonif tp macan putih gandara group gelar aksi bakti sosial donor darah giat tanam pohon bentuk ikhtiar jaga kondisi lingkung degradasi serikat buruh komitmen jaga kota bandung kondusif libat aksi rusak tertib salur krusial cepat kendali organisme ganggu tanam rumah kepala keluarga dampak rumah warga kondisi rusak berat akibat terjang arus deras sungai luap jadi pohon tumbang lapor titik komplek pemda cibinong kampung curug area parkir stadion pakansari terbit atur presiden kendali alih fungsi lahan sawah perhati serius dunia industri guru produktif hasil karya kualitas kuat kolaborasi lintas disiplin peran reputasi unisba dinas tani stan kabupaten cirebon antisipasi jelang musim kemarau rumah kampung cibolang rt desa jamal camat mande kabupaten cianjur jawa barat rusak berat terjang banjir copyright media group mediaindonesia all rights reserved
"Viral Siswa SMP di Deli Serdang Buang MBG ke Jalan, Diduga Basi dan Tak Layak Makan - Liputan6.com",https://www.liputan6.com/regional/read/6327490/viral-siswa-smp-di-deli-serdang-buang-mbg-ke-jalan-diduga-basi-dan-tak-layak-makan,Liputan6.com,Negatif,0.9997624754905701,Negatif,liput com deli serdang aksi protes siswa siswi smp negeri pantai labu kabupaten deli serdang buang puluh paket makan gizi gratis jalan sekolah kamis aksi picu kesal siswa dapat jatah makan kondisi layak konsumsi duga basi terang dinas sehat deli serdang insiden duga akar bijak ganti jadwal makan jumat libur nasional layan penuh gizi sppg jatah kamis pagi masak pasti basi konsumsi veronica margaret ketua tim kerja sehat lingkung dinas sehat deli serdang kepala sumatera utara agung kurniawan benar indikasi makan layak sayang tindak siswa nilai etis sppg klaim makan kembali ganti sekolah tolak agung sanksi suplayer sppg hasil laboratorium agung siswa buang makan jalan siswa siswi buang makan iya sppg salah cetus hubung wartawan sabtu ironis proses investigasi temu jalan buntu dinas sehat deli serdang aku sulit uji laboratorium tingkat busuk makan cek sampel makan buang keluh veronica sumut tunggu koordinasi sekolah lapor racun massal sekolah peristiwa catat merah program wilayah deli serdang awas kualitas makan ketat depan
"Viral Buruh Teriak Tidak Soal Makan Bergizi Gratis, Ini Penjelasan Lengkap KSPSI - Suara.com",https://www.suara.com/news/2026/05/04/193108/viral-buruh-teriak-tidak-soal-makan-bergizi-gratis-ini-penjelasan-lengkap-kspsi,Suara.com,Netral,0.9998619556427002,Netral,suara com presiden konfederasi serikat kerja indonesia kspsi andi gani nena wea klarifikasi potong video viral ingat may day monas hadir presiden republik indonesia prabowo subianto video ribu buruh dengar manfaat programmakan gizi gratis andi gani bentuk tolak program perintah refleksi profil demografi buruh hadir lokasi identifikasi internal anggota buruh teriak keluarga manfaat anggota lajang meni andi gani wartawan andi gani video cermat beda reaksi buruh keluarga lajang teman teman video ulang ulang pimpin konfederasi oh lajang tepuk tangan keluarga andi gani menep spekulasi sebut upaya kelompok buruh malu presiden prabowo subianto hadap publik hubung kaum buruh presiden prabowo harmonis hadir presiden raya may day pimpin konfederasi buruh federasi buruh gera gera buruh kemarin monas sengaja malu presiden sayang presiden prabowo perhati bayang kali may day kali beliau hadir politisasi jadi simpul buruh tolak bijak strategis perintah mencampuradukkan kemarin presiden buruh ambil sikap gera buruh tolak program presiden andi gani raya buruh internasional momen sejarah satu gera buruh indonesia sebut sekat antarkelompok buruh pimpin federasi konfederasi diri panggung eksklusivitas harap raya may day tonggak sejarah satu satu buruh teman teman lihat kemarin libat pidato doa ikrar rasa satu satu oktavia ningrum anggia khofifah fathorrozi ryan farizzal notif berita breaking
"Tembus Rp291,91 Miliar, Program Makan Bergizi Gratis Bengkulu Sudah Jangkau 330 Ribu Orang - betv.disway.id - BETV Disway",https://betv.disway.id/provinsi-bengkulu/read/72958/tembus-rp29191-miliar-program-makan-bergizi-gratis-bengkulu-sudah-jangkau-330-ribu-orang,BETV Disway,Positif,0.9998841285705566,Positif,mei mei provinsi bengkulu menit provinsi bengkulu menit provinsi bengkulu menit provinsi bengkulu menit provinsi bengkulu jam provinsi bengkulu jam provinsi bengkulu jam headline jam headline jam headline jam kepala djpb provinsi bengkulu irfan surya wardana foto putri betv bengkulu betvnews program makan gizi gratisdi provinsibengkuluterus progres signifikan april total anggar gelontor capai miliar jumlahpenerima manfaatsebanyak persen target terima kepala kantor wilayahdirektorat jenderal bendahara djpb provinsi bengkulu irfan surya wardhana program fokus penuh butuh gizi masyarakat dampak positif ekonomi lokal program makan gizi gratis penuh gizi gerak ekonomi masyarakat daerah irfan program perintah hasil serap tenaga kerja mayoritas asal kelompok masyarakat rentan nilai kontribusi nyata program sejahtera masyarakat laksana tawaf sa jemaah haji bengkulu kloter awal rangkai ibadah mek honor rt rw malabero tunggak komisi dprd kota bengkulu sidak kantor lurah program libat pasok supplier sedia bahan pangan ratus pasok nilai dorong putar ekonomi tingkat lokal laku usaha tengah dampak ekonomi libat ratus supplier lokal buka ribu lapang kerja sisi infrastruktur bentuk dapur layan penuh gizi sppg sebar wilayah provinsi bengkulu ada dapur sppg tulang punggung distribusi makan gizi masyarakat perintah target sppg tingkat luas cakup terima manfaat target program capai optimal lapor polisi oknum kad pmd kepahiang ancam sanksi bupati tok hakim pn bengkulu maaf hukum dakwa keras anak refpin bebas dorong tambah sppg jangkau program luas target terima penuh tutup irfan cek berita artikel digoogle provinsi bengkulu menit provinsi bengkulu jam headline headline provinsi bengkulu provinsi bengkulu provinsi bengkulu provinsi bengkulu provinsi bengkulu provinsi bengkulu daerah headline provinsi bengkulu provinsi bengkulu minggu provinsi bengkulu minggu provinsi bengkulu menit provinsi bengkulu menit provinsi bengkulu menit provinsi bengkulu menit provinsi bengkulu jam provinsi bengkulu provinsi bengkulu headline headline headline
"SMSI, JMSI, dan AMSI Lampung bentuk Sekber kawal Program Makan Bergizi Gratis - ANTARA News Lampung",https://lampung.antaranews.com/berita/822509/smsi-jmsi-dan-amsi-lampung-bentuk-sekber-kawal-program-makan-bergizi-gratis,ANTARA News Lampung,Positif,0.9994161128997803,Positif,bandarlampung asosiasi media siber konstituen dewan pers provinsi lampung bentuk sekretariat sekber wadah koordinasi kuat fungsi kontrol sosial awal program bangun nasional daerah bentuk wadah kolaboratif tanda penandatanganan pakta integritas ketua serikat media siber indonesia smsi lampung donny irawan ketua jaring media siber indonesia jmsi lampung ahmad novriwan ketua asosiasi media siber indonesia amsi lampung hendri std bandar lampung komisioner sekber donny irawan sekber tuju pusat koordinasi antarorganisasi media siber awas tukar informasi kuat peran pers saji informasi akurat era digital sekber media siber lampung solid hadap dinamika sensitif butuh hati hati berita donny komisioner ii sekber ahmad novriwan tekan hadir sekber taung ratus media siber manifestasi fungsi pers kontrol sosial bangun koridor kontrol sosial makna pimpin daerah jebak hukum bentuk komitmen pers awal penting publik novriwan fokus kawal program perdana sekber fokus awas program makan gizi gratis provinsi lampung awas cakup aktivitas layan penuh gizi sppg hak terima manfaat peran perintah daerah komisioner iii sekber hendri std program strategis nasional tunjuk teknis selamat masyarakat guna uang pajak rakyat selamat terima manfaat insiden racun langgar juknis patut sanksi hendri efektivitas awas sekber buka kanal adu publik media sosial masyarakat imbau lapor temu prosedur serta foto video jamin lindung identitas lapor aktivitas pantau lapang aktif masif giat sarasehan tajuk lampung bawa ie jadwal bandar lampung warta emir fajar saputraeditor agus wira sukartacopyright
